valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,26365,25.69,28.57,76.66,0
1,26366,25.56,28.78,76.67,0
1,26367,25.46,28.87,76.66,0
1,26368,25.37,28.88,76.66,0
1,26369,25.43,28.89,76.67,0
1,26370,27.45,28.82,76.67,0
1,26371,29.31,28.64,76.67,0
1,26372,30.21,28.54,76.67,0
1,26373,30.15,28.29,76.67,0
1,26374,30.39,27.88,76.67,0
1,26375,30.53,27.45,76.67,0
1,26376,30.65,27.10,76.66,0
1,26377,29.95,26.53,76.67,0
1,26378,28.70,25.75,76.65,0
1,26379,27.96,25.46,76.66,0
1,26380,27.27,25.11,76.67,0
1,26381,26.98,24.81,76.69,0
1,26382,28.20,24.64,76.65,0
1,26383,27.37,23.97,76.69,0
1,26384,26.93,23.96,76.67,0
1,26385,26.54,23.62,76.67,0
1,26386,26.30,23.42,76.67,0
1,26387,26.10,23.45,76.67,0
1,26388,25.93,23.44,76.68,0
1,26389,25.76,23.68,76.65,0
1,26390,25.65,24.14,76.64,0
1,26391,26.27,24.31,76.68,0
1,26392,26.87,24.57,76.66,0
1,26393,26.82,24.79,76.65,0
1,26394,26.65,25.15,76.67,0
1,26395,26.44,25.40,76.68,0
1,26396,26.29,25.72,76.67,0
1,26397,26.10,26.04,76.67,0
1,26398,26.02,26.20,76.67,0
1,26399,26.19,26.50,76.66,0
1,26400,26.29,26.63,76.68,0
